id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,default_product,variant
wc_post_id_2087,"Mascarra","Mascarra",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/mascara.png,https://edgg7es7-staging.dreamwp.com/product/mascarra/,"Cosmetics","SkinRx",1PHP,in stock,wc_post_id_2087,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2087,"https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/mascara-2.png",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
wc_post_id_2084,"Eyebrow Gel","Eyebrow Gel",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/eyebrowgel.png,https://edgg7es7-staging.dreamwp.com/product/eyebro-gel/,"Cosmetics","SkinRx",1PHP,in stock,wc_post_id_2084,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2084,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
wc_post_id_2083,"Lip Liner","Lip Liner",https://placeholdit.imgix.net/~text?txtsize=33&name=Lip%20Liner&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/lip-liner/,"Cosmetics","SkinRx",1PHP,in stock,wc_post_id_2083,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2083,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
wc_post_id_2081,"Liquid Foundation","Liquid Foundation",https://placeholdit.imgix.net/~text?txtsize=33&name=Liquid%20Foundation&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/liquid-foundation/,"Cosmetics","SkinRx",1PHP,in stock,wc_post_id_2081,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2081,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
wc_post_id_2080,"Concealer","Concealer",https://placeholdit.imgix.net/~text?txtsize=33&name=Concealer&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/concealer/,"Cosmetics","SkinRx",1PHP,in stock,wc_post_id_2080,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2080,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
wc_post_id_2078,"Make Up Primer","Make Up Primer",https://placeholdit.imgix.net/~text?txtsize=33&name=Make%20Up%20Primer&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/make-up-primer/,"Cosmetics","SkinRx",1PHP,in stock,wc_post_id_2078,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2078,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
wc_post_id_2082,"Lipgloss","Lipgloss",https://placeholdit.imgix.net/~text?txtsize=33&name=Lipgloss&w=530&h=530,https://edgg7es7-staging.dreamwp.com/product/lipgloss/,"Cosmetics","SkinRx",1PHP,in stock,wc_post_id_2082,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=2082,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,1PHP,new,published,,
wc_post_id_2064,"Pleasant Touch Soap","Soap: Brightening Soap",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/soap1.jpg,https://edgg7es7-staging.dreamwp.com/product/pleasant-touch-soap/?attribute_pa_soap=brightening,"Skin Care","SkinRx",199.95PHP,in stock,wc_post_id_1639,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=1639&variation_id=2064&attribute_pa_soap=brightening,"https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/soap1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199.95PHP,new,published,,"soap:Brightening Soap/Ultra Hydrating Soap/YounGCT Soap:Brightening Soap"
wc_post_id_2066,"Pleasant Touch Soap","Soap: YounGCT Soap",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/soap1.jpg,https://edgg7es7-staging.dreamwp.com/product/pleasant-touch-soap/?attribute_pa_soap=youngct,"Skin Care","SkinRx",199.95PHP,in stock,wc_post_id_1639,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=1639&variation_id=2066&attribute_pa_soap=youngct,"https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/soap1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199.95PHP,new,published,,"soap:Brightening Soap/Ultra Hydrating Soap/YounGCT Soap:YounGCT Soap"
wc_post_id_2065,"Pleasant Touch Soap","Soap: Ultra Hydrating Soap",https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/soap1.jpg,https://edgg7es7-staging.dreamwp.com/product/pleasant-touch-soap/?attribute_pa_soap=ultra,"Skin Care","SkinRx",199.95PHP,in stock,wc_post_id_1639,https://edgg7es7-staging.dreamwp.com/cart/?add-to-cart=1639&variation_id=2065&attribute_pa_soap=ultra,"https://edgg7es7-staging.dreamwp.com/wp-content/uploads/2020/06/soap1.jpg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,199.95PHP,new,published,,"soap:Brightening Soap/Ultra Hydrating Soap/YounGCT Soap:Ultra Hydrating Soap"
